runNumber,genCount,elapsedTime,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
13,3681,599.113,0,333,333,333,0,14
14,3647,599.725,0,333,333,333,0,14
15,3671,599.679,0,333,333,333,0,14
16,3519,599.672,0,333,333,333,0,14
17,3643,600.16,0,333,333,333,0,14
18,3605,599.312,0,333,333,333,0,14
19,3626,599.532,0,333,333,333,0,14
20,3716,599.564,0,333,333,333,0,14
21,3705,599.589,0,333,333,333,0,14
22,3659,600.037,0,333,333,333,0,14
23,3653,599.7,0,333,333,333,0,14
24,3872,599.914,0,333,333,333,0,14
25,3640,599.598,0,333,333,333,0,14
26,3656,599.64,0,333,333,333,0,14
27,3627,599.813,0,333,333,333,0,14
28,3650,599.805,0,333,333,333,0,14
29,3872,599.785,0,333,333,333,0,14
0,3619,599.699,0,333,333,333,0,15
1,3629,600.317,0,333,333,333,0,15
2,3604,602.937,0,333,333,333,0,15
3,3712,599.452,0,333,333,333,0,15
4,3629,600.02,0,333,333,333,0,15
5,3644,599.67,0,333,333,333,0,15
6,3678,599.748,0,333,333,333,0,15
7,3674,600.069,0,333,333,333,0,15
8,3623,599.679,0,333,333,333,0,15
9,3632,599.967,0,333,333,333,0,15
10,3660,600.44,0,333,333,333,0,15
11,3644,600.144,0,333,333,333,0,15
12,3657,600.077,0,333,333,333,0,15
13,3699,599.712,0,333,333,333,0,15
14,3692,599.893,0,333,333,333,0,15
15,3667,599.998,0,333,333,333,0,15
16,3519,599.584,0,333,333,333,0,15
17,3666,599.946,0,333,333,333,0,15
18,3657,599.781,0,333,333,333,0,15
19,3680,600.005,0,333,333,333,0,15
20,3685,599.836,0,333,333,333,0,15
21,3684,599.868,0,333,333,333,0,15
22,3627,600.159,0,333,333,333,0,15
23,3701,599.883,0,333,333,333,0,15
24,3575,599.862,0,333,333,333,0,15
25,3615,599.64,0,333,333,333,0,15
26,3629,599.447,0,333,333,333,0,15
27,3705,599.785,0,333,333,333,0,15
28,3746,599.29,0,333,333,333,0,15
29,3600,600.439,0,333,333,333,0,15
0,3702,599.861,0,333,333,333,0,16
1,3659,603.855,0,333,333,333,0,16
2,3663,601.599,0,333,333,333,0,16
3,3714,602.579,0,333,333,333,0,16
4,3601,600.052,0,333,333,333,0,16
5,3675,599.624,0,333,333,333,0,16
6,3656,599.783,0,333,333,333,0,16
7,3606,600.024,0,333,333,333,0,16
8,3604,600.196,0,333,333,333,0,16
9,3673,599.713,0,333,333,333,0,16
10,3630,600.334,0,333,333,333,0,16
11,3632,599.92,0,333,333,333,0,16
12,3802,599.836,0,333,333,333,0,16
13,3627,599.568,0,333,333,333,0,16
14,3647,599.948,0,333,333,333,0,16
15,3721,599.932,0,333,333,333,0,16
16,3525,599.891,0,333,333,333,0,16
17,3583,599.832,0,333,333,333,0,16
18,3647,599.902,0,333,333,333,0,16
19,3664,599.841,0,333,333,333,0,16
20,3712,599.662,0,333,333,333,0,16
21,3638,599.703,0,333,333,333,0,16
22,3584,599.644,0,333,333,333,0,16
23,3687,599.508,0,333,333,333,0,16
24,3623,599.958,0,333,333,333,0,16
25,3682,599.582,0,333,333,333,0,16
26,3637,599.891,0,333,333,333,0,16
27,3662,599.542,0,333,333,333,0,16
28,3639,599.39,0,333,333,333,0,16
29,3603,600.04,0,333,333,333,0,16
0,3652,599.784,0,333,333,333,0,17
1,3652,600.057,0,333,333,333,0,17
2,3648,599.688,0,333,333,333,0,17
3,3669,599.698,0,333,333,333,0,17
4,3619,599.664,0,333,333,333,0,17
5,3699,599.643,0,333,333,333,0,17
6,3668,599.893,0,333,333,333,0,17
7,3621,600.229,0,333,333,333,0,17
8,3561,599.486,0,333,333,333,0,17
9,3680,599.88,0,333,333,333,0,17
10,3643,599.909,0,333,333,333,0,17
11,3606,600.678,0,333,333,333,0,17
12,3683,599.894,0,333,333,333,0,17
13,3684,599.933,0,333,333,333,0,17
14,3639,599.956,0,333,333,333,0,17
15,3636,599.943,0,333,333,333,0,17
16,3522,599.852,0,333,333,333,0,17
17,3640,599.952,0,333,333,333,0,17
18,3642,599.965,0,333,333,333,0,17
19,3721,599.901,0,333,333,333,0,17
20,3687,599.914,0,333,333,333,0,17
21,3633,599.812,0,333,333,333,0,17
22,3656,600.554,0,333,333,333,0,17
23,3634,599.993,0,333,333,333,0,17
24,3661,599.695,0,333,333,333,0,17
25,3656,599.847,0,333,333,333,0,17
26,3621,599.408,0,333,333,333,0,17
27,3654,599.671,0,333,333,333,0,17
28,3640,599.759,0,333,333,333,0,17
29,3619,599.453,0,333,333,333,0,17
0,3650,599.842,0,333,333,333,0,18
1,3621,601.026,0,333,333,333,0,18
2,3626,600.358,0,333,333,333,0,18
3,3597,599.603,0,333,333,333,0,18
4,3614,603.414,0,333,333,333,0,18
5,3682,599.625,0,333,333,333,0,18
6,3652,599.881,0,333,333,333,0,18
7,3639,599.664,0,333,333,333,0,18
8,3570,599.662,0,333,333,333,0,18
9,3611,599.833,0,333,333,333,0,18
10,3625,599.692,0,333,333,333,0,18
11,3681,599.638,0,333,333,333,0,18
12,3644,599.78,0,333,333,333,0,18
13,3654,600.064,0,333,333,333,0,18
14,3600,599.793,0,333,333,333,0,18
15,3726,599.924,0,333,333,333,0,18
16,3492,599.876,0,333,333,333,0,18
17,3662,599.846,0,333,333,333,0,18
18,3581,599.764,0,333,333,333,0,18
19,3639,599.825,0,333,333,333,0,18
20,3667,600.013,0,333,333,333,0,18
21,3706,599.816,0,333,333,333,0,18
22,3601,599.873,0,333,333,333,0,18
23,3650,599.949,0,333,333,333,0,18
24,3595,600.072,0,333,333,333,0,18
25,3693,599.857,0,333,333,333,0,18
26,3635,599.699,0,333,333,333,0,18
27,3659,600.119,0,333,333,333,0,18
28,3636,599.541,0,333,333,333,0,18
29,3620,599.868,0,333,333,333,0,18
0,3708,599.758,0,333,333,333,0,19
1,3654,601.581,0,333,333,333,0,19
2,3647,601.66,0,333,333,333,0,19
3,3673,603.401,0,333,333,333,0,19
4,3675,600.186,0,333,333,333,0,19
5,3674,599.594,0,333,333,333,0,19
6,3671,599.881,0,333,333,333,0,19
7,3632,599.757,0,333,333,333,0,19
8,3617,600.581,0,333,333,333,0,19
9,3640,599.811,0,333,333,333,0,19
10,3662,600.07,0,333,333,333,0,19
11,3661,599.545,0,333,333,333,0,19
12,3671,599.436,0,333,333,333,0,19
13,3664,599.781,0,333,333,333,0,19
14,3686,599.964,0,333,333,333,0,19
15,3637,599.481,0,333,333,333,0,19
16,3498,600.086,0,333,333,333,0,19
17,3638,599.573,0,333,333,333,0,19
18,3597,599.637,0,333,333,333,0,19
19,3665,599.872,0,333,333,333,0,19
20,3707,599.597,0,333,333,333,0,19
21,3713,599.644,0,333,333,333,0,19
22,3610,599.933,0,333,333,333,0,19
23,3672,599.295,0,333,333,333,0,19
24,3553,599.96,0,333,333,333,0,19
25,3723,599.391,0,333,333,333,0,19
26,3705,599.916,0,333,333,333,0,19
27,3682,599.829,0,333,333,333,0,19
28,3657,599.484,0,333,333,333,0,19
29,3616,600.015,0,333,333,333,0,19
0,3664,600.06,0,333,333,333,0,2
1,3608,600.376,0,333,333,333,0,2
2,3577,603.27,0,333,333,333,0,2
3,3637,599.805,0,333,333,333,0,2
4,3593,599.373,0,333,333,333,0,2
5,3625,599.9,0,333,333,333,0,2
6,3598,599.983,0,333,333,333,0,2
7,3595,600.318,0,333,333,333,0,2
8,3548,599.259,0,333,333,333,0,2
9,3613,599.89,0,333,333,333,0,2
10,3637,599.95,0,333,333,333,0,2
11,3594,599.644,0,333,333,333,0,2
12,3702,600.074,0,333,333,333,0,2
13,3652,599.84,0,333,333,333,0,2
14,3630,599.699,0,333,333,333,0,2
15,3637,599.839,0,333,333,333,0,2
16,3517,599.587,0,333,333,333,0,2
17,3600,599.803,0,333,333,333,0,2
18,3660,599.84,0,333,333,333,0,2
19,3611,599.295,0,333,333,333,0,2
20,3616,599.956,0,333,333,333,0,2
21,3610,599.944,0,333,333,333,0,2
22,3592,600.133,0,333,333,333,0,2
23,3594,599.93,0,333,333,333,0,2
24,3573,599.879,0,333,333,333,0,2
25,3616,600.321,0,333,333,333,0,2
26,3643,599.769,0,333,333,333,0,2
27,3605,600.092,0,333,333,333,0,2
28,3624,600.394,0,333,333,333,0,2
29,3615,600.258,0,333,333,333,0,2
0,3800,599.918,0,333,333,333,0,20
1,3666,604.001,0,333,333,333,0,20
2,3811,601.637,0,333,333,333,0,20
3,3680,602.623,0,333,333,333,0,20
4,3640,600.077,0,333,333,333,0,20
5,3744,599.708,0,333,333,333,0,20
6,3679,599.975,0,333,333,333,0,20
7,3684,599.935,0,333,333,333,0,20
8,3613,600.019,0,333,333,333,0,20
9,3741,599.76,0,333,333,333,0,20
10,3619,600.15,0,333,333,333,0,20
11,3628,599.848,0,333,333,333,0,20
12,3698,599.849,0,333,333,333,0,20
13,3681,599.674,0,333,333,333,0,20
14,3693,599.959,0,333,333,333,0,20
