runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
27,4650,599.886,0,0,333,333,333,0,12
28,4399,600.031,0,0,333,333,333,0,12
29,4584,599.826,0,0,333,333,333,0,12
0,4060,599.948,0,0,333,333,333,0,13
1,4311,599.867,0,0,333,333,333,0,13
2,4376,600.014,0,0,333,333,333,0,13
3,4424,599.962,0,0,333,333,333,0,13
4,4459,599.851,0,0,333,333,333,0,13
5,4855,599.811,0,0,333,333,333,0,13
6,4427,599.922,0,0,333,333,333,0,13
7,4304,599.876,0,0,333,333,333,0,13
8,4263,599.894,0,0,333,333,333,0,13
9,4317,599.811,1,0,333,333,0,0,13
10,4442,599.93,0,0,333,333,333,0,13
11,4460,600,0,0,333,333,333,0,13
12,4303,599.758,0,0,333,333,333,0,13
13,4434,599.923,0,0,333,333,333,0,13
14,4483,600.035,0,0,333,333,333,0,13
15,4305,599.818,0,0,333,333,333,0,13
16,4314,599.945,0,0,333,333,333,0,13
17,4115,600.001,0,0,333,333,333,0,13
18,4234,599.812,0,0,333,333,333,0,13
19,4238,599.93,0,0,333,333,333,0,13
20,4402,599.965,0,0,333,333,333,0,13
21,4403,599.924,0,0,333,333,333,0,13
22,4373,600.04,0,0,333,333,333,0,13
23,4318,599.823,0,0,333,333,333,0,13
24,4536,599.769,0,0,333,333,333,0,13
25,4327,600.006,0,0,333,333,333,0,13
26,4208,599.84,0,0,333,333,333,0,13
27,4394,599.876,0,0,333,333,333,0,13
28,4149,599.823,0,0,333,333,333,0,13
29,4375,599.922,0,0,333,333,333,0,13
0,4396,599.891,0,0,333,333,333,0,14
1,4324,599.947,1,45,28.575,1,0,0,14
2,4307,599.851,0,0,333,333,333,0,14
3,4226,599.831,0,0,333,333,333,0,14
4,4435,599.982,0,0,333,333,333,0,14
5,4522,600.001,1,108,28.1667,1,0,0,14
6,4367,599.963,0,0,333,333,333,0,14
7,4447,599.909,0,0,333,333,333,0,14
8,4516,599.758,0,0,333,333,333,0,14
9,4249,599.97,0,0,333,333,333,0,14
10,4435,599.859,0,0,333,333,333,0,14
11,4314,599.894,1,24,42.3542,1,0,0,14
12,4581,599.813,0,0,333,333,333,0,14
13,4334,599.924,0,0,333,333,333,0,14
14,4562,599.918,0,0,333,333,333,0,14
15,4371,599.918,0,0,333,333,333,0,14
16,4337,599.944,0,0,333,333,333,0,14
17,4504,599.926,0,0,333,333,333,0,14
18,4515,599.862,0,0,333,333,333,0,14
19,4524,599.836,0,0,333,333,333,0,14
20,4306,599.847,0,0,333,333,333,0,14
21,4375,599.874,0,0,333,333,333,0,14
22,4227,600.028,0,0,333,333,333,0,14
23,4475,599.807,0,0,333,333,333,0,14
24,4159,599.841,0,0,333,333,333,0,14
25,4371,600.019,0,0,333,333,333,0,14
26,4162,599.848,0,0,333,333,333,0,14
27,4467,599.801,0,0,333,333,333,0,14
28,4271,599.963,0,0,333,333,333,0,14
29,4343,599.933,0,0,333,333,333,0,14
0,4893,599.935,0,0,333,333,333,0,15
1,4615,599.928,0,0,333,333,333,0,15
2,4816,600.008,0,0,333,333,333,0,15
3,4563,599.821,0,0,333,333,333,0,15
4,4502,599.874,0,0,333,333,333,0,15
5,4845,599.81,0,0,333,333,333,0,15
6,4803,599.921,0,0,333,333,333,0,15
7,4492,599.764,0,0,333,333,333,0,15
8,4523,599.975,0,0,333,333,333,0,15
9,4680,599.937,0,0,333,333,333,0,15
10,4646,599.8,0,0,333,333,333,0,15
11,4624,599.934,0,0,333,333,333,0,15
12,4558,599.782,0,0,333,333,333,0,15
13,4945,599.896,0,0,333,333,333,0,15
14,4425,599.858,0,0,333,333,333,0,15
15,4447,599.876,0,0,333,333,333,0,15
16,4459,600.01,0,0,333,333,333,0,15
17,4373,599.994,0,0,333,333,333,0,15
18,4433,599.787,0,0,333,333,333,0,15
19,4836,599.946,0,0,333,333,333,0,15
20,4578,599.92,0,0,333,333,333,0,15
21,4653,599.802,0,0,333,333,333,0,15
22,4449,599.973,0,0,333,333,333,0,15
23,4491,599.85,0,0,333,333,333,0,15
24,4360,599.951,0,0,333,333,333,0,15
25,4507,599.786,0,0,333,333,333,0,15
26,4364,599.854,0,0,333,333,333,0,15
27,4509,599.936,0,0,333,333,333,0,15
28,4401,599.864,0,0,333,333,333,0,15
29,4680,599.854,0,0,333,333,333,0,15
0,4560,599.941,0,0,333,333,333,0,16
1,4496,599.827,0,0,333,333,333,0,16
2,4431,599.815,0,0,333,333,333,0,16
3,4403,599.839,0,0,333,333,333,0,16
4,4373,600.001,0,0,333,333,333,0,16
5,4285,599.838,0,0,333,333,333,0,16
6,4605,599.822,0,0,333,333,333,0,16
7,4390,599.983,0,0,333,333,333,0,16
8,4615,599.837,0,0,333,333,333,0,16
9,4344,599.798,0,0,333,333,333,0,16
10,4552,599.911,0,0,333,333,333,0,16
