runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
4,3687,599.93,0,0,333,333,333,0,17
5,3761,599.945,0,0,333,333,333,0,17
6,3702,599.311,0,0,333,333,333,0,17
7,3753,600.055,0,0,333,333,333,0,17
8,3710,599.812,0,0,333,333,333,0,17
9,3703,599.911,0,0,333,333,333,0,17
10,3728,599.725,0,0,333,333,333,0,17
11,3750,599.8,0,0,333,333,333,0,17
12,3707,599.945,0,0,333,333,333,0,17
13,3696,599.751,0,0,333,333,333,0,17
14,3725,599.979,0,0,333,333,333,0,17
15,3715,599.721,0,0,333,333,333,0,17
16,3694,599.902,0,0,333,333,333,0,17
17,3712,600.077,0,0,333,333,333,0,17
18,3760,599.665,0,0,333,333,333,0,17
19,3736,599.996,0,0,333,333,333,0,17
20,3720,599.947,0,0,333,333,333,0,17
21,3724,599.828,0,0,333,333,333,0,17
22,3724,599.861,0,0,333,333,333,0,17
23,3734,599.907,0,0,333,333,333,0,17
24,3879,599.854,0,0,333,333,333,0,17
25,3703,599.999,0,0,333,333,333,0,17
26,3715,599.925,0,0,333,333,333,0,17
27,3684,599.801,0,0,333,333,333,0,17
28,3749,599.998,0,0,333,333,333,0,17
29,3695,600.003,0,0,333,333,333,0,17
0,3736,600.051,0,0,333,333,333,0,18
1,3703,599.723,0,0,333,333,333,0,18
2,3705,599.926,0,0,333,333,333,0,18
3,3705,599.955,0,0,333,333,333,0,18
4,3697,599.9,0,0,333,333,333,0,18
5,3715,599.965,0,0,333,333,333,0,18
6,3705,599.677,0,0,333,333,333,0,18
7,3762,599.816,0,0,333,333,333,0,18
8,3688,599.853,0,0,333,333,333,0,18
9,3711,599.9,0,0,333,333,333,0,18
10,3930,600.019,0,0,333,333,333,0,18
11,3703,599.898,0,0,333,333,333,0,18
12,3727,599.985,0,0,333,333,333,0,18
13,3693,599.799,0,0,333,333,333,0,18
14,3856,599.732,0,0,333,333,333,0,18
15,3680,599.971,0,0,333,333,333,0,18
16,3875,599.671,0,0,333,333,333,0,18
17,3698,599.791,0,0,333,333,333,0,18
18,3722,600.052,0,0,333,333,333,0,18
19,3744,600.046,0,0,333,333,333,0,18
