runNumber,genCount,elapsedTime,noSolutions,unaryHyperVol,binaryHyperVol,additiveEps,entropy,swInst,chInst
21,3779,599.827,0,0,333,333,333,0,13
22,4143,599.861,0,0,333,333,333,0,13
23,3875,599.826,0,0,333,333,333,0,13
24,3485,600.008,1,65,333,333,0,0,13
25,3882,599.607,0,0,333,333,333,0,13
26,3712,599.879,0,0,333,333,333,0,13
27,3882,599.847,0,0,333,333,333,0,13
28,3940,599.809,0,0,333,333,333,0,13
29,3794,600.023,0,0,333,333,333,0,13
0,3895,599.872,0,0,333,333,333,0,14
1,3784,599.951,0,0,333,333,333,0,14
2,3923,599.927,0,0,333,333,333,0,14
3,4032,599.906,0,0,333,333,333,0,14
4,3991,599.941,0,0,333,333,333,0,14
5,4333,599.779,0,0,333,333,333,0,14
6,3921,600.001,0,0,333,333,333,0,14
7,3831,599.984,0,0,333,333,333,0,14
8,3897,599.761,0,0,333,333,333,0,14
9,3825,600.002,0,0,333,333,333,0,14
10,3753,599.884,0,0,333,333,333,0,14
11,3746,599.94,0,0,333,333,333,0,14
12,4005,599.821,0,0,333,333,333,0,14
13,3775,599.833,0,0,333,333,333,0,14
14,4009,599.959,0,0,333,333,333,0,14
15,3783,599.985,0,0,333,333,333,0,14
16,3858,599.868,0,0,333,333,333,0,14
17,3882,599.891,0,0,333,333,333,0,14
18,3960,599.775,0,0,333,333,333,0,14
19,3919,600.018,0,0,333,333,333,0,14
20,3913,599.767,0,0,333,333,333,0,14
21,3955,599.914,0,0,333,333,333,0,14
22,3735,600.058,0,0,333,333,333,0,14
23,3847,599.766,0,0,333,333,333,0,14
24,3818,599.999,0,0,333,333,333,0,14
25,3762,599.666,0,0,333,333,333,0,14
26,3806,599.848,0,0,333,333,333,0,14
27,3870,599.889,0,0,333,333,333,0,14
28,3929,599.754,0,0,333,333,333,0,14
29,3931,599.974,0,0,333,333,333,0,14
0,3688,600.077,0,0,333,333,333,0,15
1,3719,599.743,0,0,333,333,333,0,15
2,3658,599.972,0,0,333,333,333,0,15
3,3728,599.816,0,0,333,333,333,0,15
4,3718,599.984,0,0,333,333,333,0,15
5,3747,600.007,0,0,333,333,333,0,15
6,3616,599.878,1,95,64,1,0,0,15
7,3903,599.905,0,0,333,333,333,0,15
8,3756,600.009,0,0,333,333,333,0,15
9,3916,599.85,0,0,333,333,333,0,15
10,3737,599.861,0,0,333,333,333,0,15
11,3757,599.875,0,0,333,333,333,0,15
12,3676,600.006,0,0,333,333,333,0,15
13,3916,599.821,0,0,333,333,333,0,15
14,3616,599.864,0,0,333,333,333,0,15
15,3757,599.807,0,0,333,333,333,0,15
16,3545,599.851,1,12,64,1,0,0,15
17,3849,599.956,0,0,333,333,333,0,15
18,3668,599.997,0,0,333,333,333,0,15
19,3754,599.912,0,0,333,333,333,0,15
20,3660,599.881,0,0,333,333,333,0,15
21,3606,600.031,2,119,9,1,inf,0,15
22,3825,599.906,0,0,333,333,333,0,15
23,3733,599.926,0,0,333,333,333,0,15
24,3541,599.831,1,95,64,1,0,0,15
25,3842,599.575,0,0,333,333,333,0,15
26,3926,599.799,0,0,333,333,333,0,15
27,3856,599.96,0,0,333,333,333,0,15
28,3858,599.766,0,0,333,333,333,0,15
29,3870,600.026,0,0,333,333,333,0,15
0,3919,599.926,0,0,333,333,333,0,16
